name,sale_price,original_price,discount
VEJPONG Honey 760 ml,307,315,-2%
KRUAWANGTHIP Tempura Batter Mix Flour 500 g,25,27,-7%
LOBO Pad Thai Paste 1.18 kg,149,158,-5%
THAI-DENMARK UHT Milk Plain 180 ml 36 boxes,339,349,-2%
CARNATION Evaporated Milk 405 ml x 48,"1,205","1,227",
CRYSTAL Drinking Water 1.5 l x 6,45,49,
DEWBERRY Cookies Strawberry 27 g 12 pcs,42,46.5,
BHAESAJ Talcum Original 200 g x 6,169,210,-19%
OISHI Green Tea Honey Lemon 370 ml x 24,270,290,-6%
DEWBERRY Cookies Blueberry 27 g 12 pcs,42,46.5,
Australian Beef Picanha (Rump Cap) kg,525,590,-11%
"SCOTCH-BRITE Scrub Sponge 3x4"" x 3+1",33,65,
POCKY Biscuit Stick Coated with Chocolate 45 g x 10,145,195,
aro Floor Cleaner Pink 5200 ml,139,147,-5%
TASTO Potato Rock Chips Crab Curry 11 g x 12,46,49.5,
BKP Smoked Chicken Sausage 1 kg,105,129,-18%
BENTO Roast Squid Hot&Spicy 18 g x 6,93,95,-2%
WORLDTECH Digital Stand Mixer 5.5 L 1200W Model WT-SM55,"2,060","4,990",-58%
FATHAI Pork Flavored Seasoning Powder 1.2 kg,115,120,-4%
BIRDY Instant Coffee 3in1 Robusta 15 g 60 sachets,197,204,
GARNIER Body Lotion Light 400 ml x 1+1,209,265,-21%
DOWNY Liquid Laundry Detergent Indoor Dry Clean 1.8 l,199,204,-2%
CUCKOO Rice Cooker 1.8 l Model PK1000S Black,"2,990","4,790",-37%
NIVEA Lotion Extra White Radiant & Smooth 550 ml x 1+1,237,259,-8%
BENTO Squid Seafood Snack Hot & Spicy 4 g x 12,47,49.5,-5%
TAWAN Extruded Snack Shrimp 16 g x 12,47,49.5,
CORNAE Corn Snack 46 g x 3,49.5,50,-1%
NESCAFE Ready to Drink Canned Coffee Espresso Roast 170 ml x 30,402,408,
PEPSI Soft Drink 345 ml x 24,274,275,
POCKY Strawberry 43 g x 10,145,195,
NIVEA Extra ฺBright Roll on 25 ml x 4+1,180,236,-23%
PAPRIKA Potato Extruded Snack 12 g x 12,49.5,50,-1%
DOWNY Premium Parfum Concentrated Fabric Softener Mystique 950 ml 1+1,199,211,-5%
DOWNY Parfum Softener Mystique 2.1 l,179,189,
CHEETOS Corn Snack American Cheese 18 g x 12,46,49.5,
MIRINDA Soft Drink Strawberry 345 ml x 12,95,106,-10%
SINGHA Pink Lemon Soda 330 ml x 24,318,324,
ARO Chicken Egg no.3-4 with Cover 30 pcs,104,109,-4%
SAVEPAK Frozen Strawberry 1 kg x 10,580,650,-10%
ARO Frozen Halved Avocado 1 kg,149,219,-31%
ARO GOLD Vietnam Roasted Coffee Robusta 100% Dark Roasted 500 g,262,520,-49%
BONCAFE Bean Mocca 600 g,365,390,-6%
CUCKOO Rice Cooker 1.8 l Model CR1005 Black,690,"1,290",-46%
